Periodicity ;Year;Quarter ;Month;Item;Money Supply in Million Saudi Riyals
Quarterly;2004;Q2;-;Money Supply M1;242649.611
Quarterly;2004;Q2;-;Money Supply M3;447890.194
Quarterly;2004;Q3;-;Currency Outside Banks;56038.276
Quarterly;2004;Q3;-;Money Supply M1;243387.705
Quarterly;2004;Q4;-;Time & Savings Deposits;136672.88
Quarterly;2005;Q1;-;Demand  Deposits;217667.308
Quarterly;2005;Q1;-;Other Quasi- Money Deposits;93172.008
Quarterly;2005;Q1;-;Money Supply M1;276411.181
Quarterly;2005;Q2;-;Demand  Deposits;215973.956
Quarterly;2005;Q3;-;Money Supply M3;535410.223
Quarterly;2005;Q4;-;Currency Outside Banks;64288.038
Quarterly;2005;Q4;-;Money Supply M3;553347.933
Quarterly;2006;Q2;-;Currency Outside Banks;63512.051
Quarterly;2006;Q2;-;Money Supply M1;300849.784
Quarterly;2006;Q3;-;Money Supply M3;623153.505
Quarterly;2006;Q4;-;Other Quasi- Money Deposits;121499.516
Quarterly;2007;Q1;-;Time & Savings Deposits;238989.475
Quarterly;2007;Q1;-;Money Supply M2;561656.925
Quarterly;2007;Q2;-;Other Quasi- Money Deposits;121646.738
Quarterly;2007;Q3;-;Other Quasi- Money Deposits;125748.121
Quarterly;2007;Q3;-;Money Supply M1;353913.887
Quarterly;2007;Q4;-;Time & Savings Deposits;283059.125
Quarterly;2008;Q1;-;Demand  Deposits;339307.701
Quarterly;2008;Q2;-;Money Supply M1;429150.473
Quarterly;2008;Q2;-;Money Supply M3;860696.52
Quarterly;2008;Q3;-;Other Quasi- Money Deposits;144041.364
Quarterly;2008;Q3;-;Money Supply M3;888452.713
Quarterly;2009;Q1;-;Time & Savings Deposits;356403.372
Quarterly;2009;Q1;-;Money Supply M1;459795.124
Quarterly;2009;Q1;-;Money Supply M2;816198.496
Quarterly;2009;Q3;-;Money Supply M2;823312.729
Quarterly;2009;Q4;-;Demand  Deposits;433162.212
Quarterly;2009;Q4;-;Currency Outside Banks;88395.351
Quarterly;2009;Q4;-;Money Supply M3;1028943.781
Quarterly;2010;Q1;-;Money Supply M1;542010.447059
Quarterly;2010;Q2;-;Money Supply M3;1035581.88635
Quarterly;2010;Q3;-;Demand  Deposits;495813.693
Quarterly;2010;Q4;-;Currency Outside Banks;95519.847685
Quarterly;2011;Q1;-;Demand  Deposits;583031.552
Quarterly;2012;Q1;-;Currency Outside Banks;122692.864513
Quarterly;2012;Q1;-;Money Supply M2;1120810.68051
Quarterly;2012;Q3;-;Currency Outside Banks;130143.219037
Quarterly;2012;Q4;-;Money Supply M2;1219355.94129
Quarterly;2013;Q1;-;Money Supply M1;943553.377029
Quarterly;2013;Q3;-;Time & Savings Deposits;330677.602
Quarterly;2013;Q3;-;Currency Outside Banks;139043.20607
Quarterly;2013;Q3;-;Money Supply M3;1495507.11707
Quarterly;2013;Q4;-;Currency Outside Banks;143140.037178
Quarterly;2014;Q1;-;Money Supply M1;1064490.57054
Quarterly;2014;Q1;-;Money Supply M3;1634769.85054
Quarterly;2014;Q3;-;Currency Outside Banks;158033.852833
Quarterly;2014;Q3;-;Money Supply M3;1698168.71483
Quarterly;2014;Q3;-;Money Supply M2;1507209.22383
Quarterly;2014;Q4;-;Other Quasi- Money Deposits;193335.18
Quarterly;2014;Q4;-;Currency Outside Banks;153750.143112
Quarterly;2015;Q1;-;Currency Outside Banks;166589.377759
Quarterly;2015;Q2;-;Demand  Deposits;1085079.376
Quarterly;2015;Q2;-;Money Supply M1;1259095.93969
Quarterly;2015;Q2;-;Money Supply M3;1830948.93069
Quarterly;2015;Q4;-;Time & Savings Deposits;439377.329
Quarterly;2015;Q4;-;Demand  Deposits;980150.664
Quarterly;2015;Q4;-;Money Supply M1;1148642.45448
Quarterly;2016;Q1;-;Money Supply M2;1573911.14257
Quarterly;2016;Q2;-;Money Supply M1;1147996.9662
Quarterly;2016;Q3;-;Currency Outside Banks;173468.077396
Quarterly;2016;Q3;-;Money Supply M1;1117869.03883
Quarterly;2016;Q4;-;Money Supply M3;1799707.6841
Quarterly;2016;Q4;-;Money Supply M2;1642428.57552
Quarterly;2017;Q1;-;Other Quasi- Money Deposits;153148.745973
Quarterly;2017;Q2;-;Time & Savings Deposits;483886.804218
Quarterly;2017;Q2;-;Currency Outside Banks;184276.198972
Quarterly;2017;Q2;-;Money Supply M1;1168809.12786
Quarterly;2017;Q2;-;Money Supply M3;1832865.55941
Quarterly;2017;Q3;-;Money Supply M1;1150861.96162
Quarterly;2017;Q3;-;Money Supply M3;1786426.74462
Quarterly;2017;Q4;-;Demand  Deposits;1002467.74801
Quarterly;2017;Q4;-;Money Supply M3;1805171.37263
Quarterly;2017;Q4;-;Money Supply M2;1628666.1579
Quarterly;2018;Q2;-;Currency Outside Banks;189861.894843
Quarterly;2018;Q2;-;Money Supply M1;1211993.96027
Quarterly;2018;Q3;-;Currency Outside Banks;178997.72355
Quarterly;2018;Q3;-;Money Supply M3;1837921.18982
Quarterly;2018;Q4;-;Other Quasi- Money Deposits;189825.56086
Quarterly;2018;Q4;-;Money Supply M3;1853645.37185
Quarterly;2019;Q2;-;Money Supply M1;1263101.60107
Quarterly;2019;Q2;-;Money Supply M3;1882261.89648
Quarterly;2019;Q2;-;Money Supply M2;1700284.62094
Monthly;1993;Q1;Jan;Money Supply M2;173841.313
Monthly;1993;Q1;Feb;Time & Savings Deposits;46108.899
Monthly;1993;Q1;Feb;Other Quasi- Money Deposits;60263.115
Monthly;1993;Q1;Mar;Time & Savings Deposits;45748.717
Monthly;1993;Q1;Mar;Other Quasi- Money Deposits;55651.947
Monthly;1993;Q2;Apr;Time & Savings Deposits;45984.425
Monthly;1993;Q2;Apr;Money Supply M2;178282.641533
Monthly;1993;Q2;May;Currency Outside Banks;48942.1277
Monthly;1993;Q2;Jun;Time & Savings Deposits;46155.635
Monthly;1993;Q2;Jun;Other Quasi- Money Deposits;57828.003
Monthly;1993;Q2;Jun;Money Supply M1;137226.025353
Monthly;1993;Q3;Jul;Other Quasi- Money Deposits;57098.469
Monthly;1993;Q3;Jul;Money Supply M1;136495.6514
Monthly;1993;Q3;Aug;Demand  Deposits;89289.138
Monthly;1993;Q3;Sep;Demand  Deposits;88202.388
Monthly;1993;Q3;Sep;Other Quasi- Money Deposits;60344.594
Monthly;1993;Q4;Oct;Other Quasi- Money Deposits;61833.365
Monthly;1993;Q4;Nov;Time & Savings Deposits;46633.355
Monthly;1993;Q4;Nov;Money Supply M1;124310.17023
Monthly;1993;Q4;Nov;Money Supply M3;232803.93523
Monthly;1993;Q4;Dec;Demand  Deposits;78879.959
Monthly;1994;Q1;Jan;Time & Savings Deposits;47767.719
Monthly;1994;Q1;Jan;Money Supply M1;123780.040467
Monthly;1994;Q2;Apr;Money Supply M3;229685.979383
Monthly;1994;Q2;Apr;Money Supply M2;173302.155383
Monthly;1994;Q2;May;Money Supply M1;127890.626189
Monthly;1994;Q2;May;Money Supply M3;233970.247189
Monthly;1994;Q3;Jul;Money Supply M2;175237.238086
Monthly;1994;Q3;Sep;Currency Outside Banks;42144.679086
Monthly;1994;Q3;Sep;Money Supply M1;125331.826086
Monthly;1994;Q4;Oct;Currency Outside Banks;43746.897
Monthly;1994;Q4;Nov;Time & Savings Deposits;49991.246
Monthly;1994;Q4;Nov;Money Supply M1;126136.515
Monthly;1994;Q4;Dec;Demand  Deposits;80679.357
Monthly;1994;Q4;Dec;Other Quasi- Money Deposits;59169.37
Monthly;1995;Q1;Jan;Demand  Deposits;79211.397
Monthly;1995;Q1;Jan;Money Supply M2;175915.485
Monthly;1995;Q1;Feb;Money Supply M3;239819.176
Monthly;1995;Q1;Mar;Other Quasi- Money Deposits;58428.146
Monthly;1995;Q2;Apr;Currency Outside Banks;48125.951699
Monthly;1995;Q2;Apr;Money Supply M3;244776.749699
Monthly;1995;Q2;May;Other Quasi- Money Deposits;57814.83
Monthly;1995;Q3;Jul;Money Supply M1;127444.4295
Monthly;1995;Q3;Jul;Money Supply M3;240970.3525
Monthly;1995;Q4;Oct;Money Supply M1;123751.572
Monthly;1995;Q4;Nov;Currency Outside Banks;42776.983
Monthly;1996;Q1;Jan;Money Supply M3;243268.345
Monthly;1996;Q1;Mar;Demand  Deposits;83226.502
Monthly;1996;Q1;Mar;Currency Outside Banks;45008.198
Monthly;1996;Q1;Mar;Money Supply M1;128234.7
Monthly;1996;Q2;Apr;Money Supply M2;196217.803619
Monthly;1996;Q2;May;Time & Savings Deposits;61804.605
Monthly;1996;Q2;May;Money Supply M3;249409.10358
Monthly;1996;Q2;Jun;Money Supply M2;194297.277
Monthly;1996;Q3;Jul;Time & Savings Deposits;62946.971
Monthly;1996;Q3;Jul;Demand  Deposits;86829.758
Monthly;1996;Q3;Jul;Money Supply M1;130253.206133
Monthly;1996;Q3;Aug;Money Supply M2;194510.352308
Monthly;1996;Q3;Sep;Money Supply M2;194348.996895
Monthly;1996;Q4;Nov;Other Quasi- Money Deposits;55663.972
Monthly;1996;Q4;Dec;Demand  Deposits;89890.221
Monthly;1996;Q4;Dec;Other Quasi- Money Deposits;54313.953
Monthly;1996;Q4;Dec;Currency Outside Banks;43037.635
Monthly;1997;Q1;Jan;Time & Savings Deposits;69427.555
Monthly;1997;Q1;Jan;Other Quasi- Money Deposits;52937.738
Monthly;1997;Q1;Jan;Money Supply M3;264268.385
Monthly;1997;Q1;Feb;Other Quasi- Money Deposits;53336.802
Monthly;1997;Q1;Mar;Time & Savings Deposits;70956.802
Monthly;1997;Q1;Mar;Currency Outside Banks;45475.57
Monthly;1997;Q2;Apr;Demand  Deposits;97167.546
Monthly;1997;Q2;May;Money Supply M1;144197.475
Monthly;1997;Q2;Jun;Other Quasi- Money Deposits;55827.952
Monthly;1997;Q3;Jul;Demand  Deposits;96936.798
Monthly;1997;Q3;Sep;Time & Savings Deposits;72463.189
Monthly;1997;Q3;Sep;Demand  Deposits;94200.418
Monthly;1997;Q4;Oct;Money Supply M2;212012.026
Monthly;1997;Q4;Dec;Demand  Deposits;95360.545
Monthly;1997;Q4;Dec;Currency Outside Banks;45823.203
Monthly;1998;Q1;Jan;Other Quasi- Money Deposits;52902.754
Monthly;1998;Q1;Feb;Time & Savings Deposits;77881.994
Monthly;1998;Q2;Apr;Demand  Deposits;100095.936
Monthly;1998;Q2;Apr;Money Supply M2;225995.556
Monthly;1998;Q2;May;Other Quasi- Money Deposits;50425.164
Monthly;1998;Q2;May;Money Supply M3;275463.69
Monthly;1998;Q2;Jun;Time & Savings Deposits;80143.232
Monthly;1998;Q2;Jun;Other Quasi- Money Deposits;52004.757
Monthly;1998;Q2;Jun;Currency Outside Banks;47004.654
Monthly;1998;Q3;Jul;Currency Outside Banks;45132.318
Monthly;1998;Q3;Jul;Money Supply M3;273455.516
Monthly;1998;Q3;Aug;Demand  Deposits;97122.279
Monthly;1998;Q3;Aug;Money Supply M3;271486.951
Monthly;1998;Q3;Sep;Other Quasi- Money Deposits;56969.817
Monthly;1998;Q3;Sep;Money Supply M1;138133.637
Monthly;1998;Q4;Oct;Demand  Deposits;94516.27
Monthly;1998;Q4;Oct;Other Quasi- Money Deposits;56862.689
Monthly;1998;Q4;Nov;Demand  Deposits;94805.792
Monthly;1998;Q4;Nov;Money Supply M3;275216.897
Monthly;1999;Q1;Jan;Time & Savings Deposits;81515.4
Monthly;1999;Q1;Jan;Currency Outside Banks;45299.178
Monthly;1999;Q1;Feb;Time & Savings Deposits;81825.216
Monthly;1999;Q1;Feb;Demand  Deposits;99206.59
Monthly;1999;Q1;Feb;Money Supply M1;144553.696
Monthly;1999;Q1;Feb;Money Supply M3;284759.411
Monthly;1999;Q1;Mar;Demand  Deposits;99834.604
Monthly;1999;Q1;Mar;Other Quasi- Money Deposits;56625.381
Monthly;1999;Q1;Mar;Currency Outside Banks;47242.843
Monthly;1999;Q1;Mar;Money Supply M1;147077.447
Monthly;1999;Q2;Apr;Other Quasi- Money Deposits;57446.821
Monthly;1999;Q2;Apr;Money Supply M1;147205.859
Monthly;1999;Q2;Apr;Money Supply M3;287780.993
Monthly;1999;Q2;May;Time & Savings Deposits;82390.604
Monthly;1999;Q2;May;Currency Outside Banks;45262.076
Monthly;1999;Q2;May;Money Supply M3;285551.553
Monthly;1999;Q2;May;Money Supply M2;228635.97
Monthly;1999;Q2;Jun;Other Quasi- Money Deposits;56573.077
Monthly;1999;Q2;Jun;Money Supply M1;146065.449
Monthly;1999;Q3;Jul;Currency Outside Banks;42989.605
Monthly;1999;Q4;Oct;Money Supply M2;227488.048
Monthly;1999;Q4;Nov;Demand  Deposits;104285.025
Monthly;1999;Q4;Nov;Currency Outside Banks;43782.635
Monthly;1999;Q4;Dec;Time & Savings Deposits;85341.415
Monthly;1999;Q4;Dec;Money Supply M3;305445.912
Monthly;1999;Q4;Dec;Money Supply M2;242006.595
Monthly;2000;Q1;Jan;Demand  Deposits;109617.144
Monthly;2000;Q1;Jan;Currency Outside Banks;47642.835
Monthly;2000;Q1;Jan;Money Supply M1;157259.979
Monthly;2000;Q1;Feb;Time & Savings Deposits;84791.198
Monthly;2000;Q1;Mar;Time & Savings Deposits;84492.34
Monthly;2000;Q1;Mar;Money Supply M1;159918.375
Monthly;2000;Q2;May;Money Supply M3;309270.806
Monthly;2000;Q3;Jul;Time & Savings Deposits;87722.681
Monthly;2000;Q3;Jul;Demand  Deposits;112910.718
Monthly;2000;Q3;Jul;Money Supply M2;247505.254
Monthly;2000;Q3;Aug;Demand  Deposits;112233.808
Monthly;2000;Q3;Sep;Time & Savings Deposits;87691.955
Monthly;2000;Q3;Sep;Money Supply M2;246439.96
Monthly;2000;Q4;Nov;Time & Savings Deposits;88314.623
Monthly;2000;Q4;Dec;Currency Outside Banks;51019.457
Monthly;2001;Q1;Jan;Demand  Deposits;117255.363
Monthly;2001;Q1;Feb;Time & Savings Deposits;91391.728
Monthly;2001;Q1;Feb;Money Supply M1;170425.464
Monthly;2001;Q1;Mar;Demand  Deposits;122472.026
Monthly;2001;Q2;Apr;Time & Savings Deposits;88403.987
Monthly;2001;Q2;Apr;Money Supply M2;263703.078
Monthly;2001;Q2;May;Money Supply M2;266350.159
Monthly;2001;Q2;Jun;Other Quasi- Money Deposits;65311.32
Monthly;2001;Q2;Jun;Money Supply M1;177772.038
Monthly;2001;Q3;Jul;Demand  Deposits;126228.18
Monthly;2001;Q3;Aug;Money Supply M1;172744.651
Monthly;2001;Q4;Nov;Money Supply M2;268369.395
Monthly;2001;Q4;Dec;Demand  Deposits;130192.471
Monthly;2001;Q4;Dec;Other Quasi- Money Deposits;68902.386
Monthly;2001;Q4;Dec;Currency Outside Banks;49203.423
Monthly;2002;Q1;Feb;Other Quasi- Money Deposits;70781.099
Monthly;2002;Q1;Mar;Demand  Deposits;138295.232
Monthly;2002;Q2;Apr;Time & Savings Deposits;89553.132
Monthly;2002;Q2;Apr;Other Quasi- Money Deposits;69875.608
Monthly;2002;Q2;May;Currency Outside Banks;50191.24
Monthly;2002;Q2;Jun;Money Supply M2;280899.548
Monthly;2002;Q3;Jul;Currency Outside Banks;48219.299
Monthly;2002;Q3;Jul;Money Supply M3;355584.22
Monthly;2002;Q3;Aug;Money Supply M1;192897.756
Monthly;2002;Q3;Sep;Money Supply M1;193190.628
Monthly;2002;Q4;Oct;Money Supply M3;376890.035
Monthly;2002;Q4;Nov;Money Supply M3;382321.997
Monthly;2002;Q4;Nov;Money Supply M2;304712.484
Monthly;2002;Q4;Dec;Currency Outside Banks;52329.209
Monthly;2003;Q1;Feb;Time & Savings Deposits;108392.233
Monthly;2003;Q1;Mar;Money Supply M2;318954.939
Monthly;2003;Q2;Apr;Money Supply M1;214803.253
Monthly;2003;Q2;May;Money Supply M3;402464.682
Monthly;2003;Q2;Jun;Demand  Deposits;162903.869
Monthly;2003;Q2;Jun;Other Quasi- Money Deposits;80877.452
Monthly;2003;Q3;Jul;Other Quasi- Money Deposits;79701.99
Monthly;2003;Q3;Aug;Time & Savings Deposits;105419.575
Monthly;2003;Q3;Aug;Other Quasi- Money Deposits;81739.775
Monthly;2003;Q3;Sep;Time & Savings Deposits;106422.194
Monthly;2003;Q3;Sep;Money Supply M1;214199.026
Monthly;2003;Q3;Sep;Money Supply M3;402370.341
Monthly;2003;Q4;Oct;Demand  Deposits;162650.828
Monthly;2003;Q4;Nov;Demand  Deposits;161642.979
Monthly;2003;Q4;Nov;Other Quasi- Money Deposits;79241.725
Monthly;2003;Q4;Nov;Currency Outside Banks;56737.519
Monthly;2003;Q4;Dec;Time & Savings Deposits;113381.881
Monthly;2003;Q4;Dec;Demand  Deposits;167577.202
Monthly;2003;Q4;Dec;Other Quasi- Money Deposits;80703.041
Monthly;2004;Q1;Jan;Money Supply M2;343166.477
Monthly;2004;Q1;Feb;Time & Savings Deposits;113855.944
Monthly;2004;Q1;Feb;Money Supply M3;427176.748
Monthly;2004;Q1;Mar;Currency Outside Banks;56701.482
Monthly;2004;Q1;Mar;Money Supply M2;350421.387
Monthly;2004;Q2;Apr;Currency Outside Banks;57333.404
Monthly;2004;Q2;May;Money Supply M3;436955.181
Monthly;2004;Q2;Jun;Demand  Deposits;185576.957
Monthly;2004;Q3;Jul;Money Supply M3;451325.701
Monthly;2004;Q3;Jul;Money Supply M2;366050.011
Monthly;2004;Q3;Aug;Demand  Deposits;188878.624
Monthly;2004;Q3;Aug;Other Quasi- Money Deposits;84215.355
Monthly;2004;Q3;Aug;Money Supply M3;456457.89
Monthly;2004;Q4;Oct;Time & Savings Deposits;125833.013
Monthly;2004;Q4;Oct;Currency Outside Banks;58896.719
Monthly;2004;Q4;Oct;Money Supply M1;241237.891
Monthly;2004;Q4;Nov;Time & Savings Deposits;144964.169
Monthly;2005;Q1;Jan;Money Supply M3;497835.85
Monthly;2005;Q1;Feb;Demand  Deposits;208933.434
Monthly;2005;Q1;Feb;Other Quasi- Money Deposits;92183.538
Monthly;2005;Q1;Feb;Currency Outside Banks;58388.242
Monthly;2005;Q1;Mar;Money Supply M3;511969.375
Monthly;2005;Q2;May;Time & Savings Deposits;151991.515
Monthly;2005;Q2;May;Other Quasi- Money Deposits;94215.594
Monthly;2005;Q2;May;Money Supply M1;279450.841
Monthly;2005;Q3;Jul;Time & Savings Deposits;150912.845
Monthly;2005;Q3;Jul;Money Supply M1;282287.808
Monthly;2005;Q3;Aug;Time & Savings Deposits;155972.671
Monthly;2005;Q3;Aug;Money Supply M1;276142.718
Monthly;2005;Q3;Aug;Money Supply M3;529187.674
Monthly;2005;Q3;Aug;Money Supply M2;432115.389
Monthly;2005;Q3;Sep;Currency Outside Banks;59591.73
Monthly;2005;Q3;Sep;Money Supply M1;273153.586
Monthly;2005;Q4;Oct;Money Supply M3;539383.192
Monthly;2005;Q4;Nov;Time & Savings Deposits;162103.055
Monthly;2005;Q4;Nov;Demand  Deposits;218400.909
Monthly;2005;Q4;Nov;Money Supply M1;281434.636
Monthly;2005;Q4;Dec;Time & Savings Deposits;165266.397
Monthly;2005;Q4;Dec;Money Supply M3;553347.933
Monthly;2005;Q4;Dec;Money Supply M2;448805.471
Monthly;2006;Q1;Feb;Demand  Deposits;225930.791
Monthly;2006;Q1;Feb;Money Supply M3;563973.045
Monthly;2006;Q1;Mar;Demand  Deposits;229288.842
Monthly;2006;Q1;Mar;Currency Outside Banks;61031.896
Monthly;2006;Q1;Mar;Money Supply M2;480463.026
Monthly;2006;Q2;Apr;Money Supply M3;587771.573
Monthly;2006;Q2;Jun;Other Quasi- Money Deposits;107359.815
Monthly;2006;Q3;Jul;Time & Savings Deposits;200977.187
Monthly;2006;Q3;Jul;Currency Outside Banks;60918.002
Monthly;2006;Q3;Jul;Money Supply M1;289467.728
Monthly;2006;Q3;Aug;Money Supply M3;611595.051
Monthly;2006;Q3;Sep;Time & Savings Deposits;212027.304
Monthly;2006;Q3;Sep;Other Quasi- Money Deposits;117479.409
Monthly;2006;Q3;Sep;Money Supply M3;623153.505
Monthly;2006;Q4;Nov;Demand  Deposits;234169.661
Monthly;2006;Q4;Nov;Currency Outside Banks;64336.889
Monthly;2006;Q4;Nov;Money Supply M3;633484.056
Monthly;2006;Q4;Nov;Money Supply M2;515860.01
Monthly;2006;Q4;Dec;Money Supply M2;538768.537
Monthly;2007;Q1;Jan;Other Quasi- Money Deposits;121461.288
Monthly;2007;Q1;Mar;Currency Outside Banks;65067.914
Monthly;2007;Q2;May;Currency Outside Banks;65858.096
Monthly;2007;Q2;May;Money Supply M1;329691.228
Monthly;2007;Q2;Jun;Money Supply M3;709304.287
Monthly;2007;Q3;Jul;Money Supply M1;344957.986
Monthly;2007;Q3;Jul;Money Supply M2;605659.881
Monthly;2007;Q3;Aug;Time & Savings Deposits;263204.272
Monthly;2007;Q3;Aug;Currency Outside Banks;65599.206
Monthly;2007;Q3;Sep;Time & Savings Deposits;264471.612
Monthly;2007;Q3;Sep;Money Supply M2;618385.499
Monthly;2007;Q4;Oct;Money Supply M1;356730.228
Monthly;2007;Q4;Nov;Time & Savings Deposits;278119.753
Monthly;2007;Q4;Nov;Other Quasi- Money Deposits;123893.351
Monthly;2008;Q1;Feb;Money Supply M3;827352.545
Monthly;2008;Q2;Apr;Currency Outside Banks;71433.827
Monthly;2008;Q2;May;Time & Savings Deposits;283979.234
Monthly;2008;Q3;Jul;Currency Outside Banks;78577.605
Monthly;2008;Q3;Jul;Money Supply M1;427708.666
Monthly;2008;Q3;Aug;Money Supply M2;737560.08
Monthly;2008;Q3;Sep;Money Supply M3;888452.713
Monthly;2008;Q4;Dec;Currency Outside Banks;83006.392
Monthly;2008;Q4;Dec;Money Supply M2;793117.951
Monthly;2009;Q1;Jan;Money Supply M1;436249.71
Monthly;2009;Q1;Jan;Money Supply M2;787977.785
Monthly;2009;Q1;Mar;Other Quasi- Money Deposits;149402.193
Monthly;2009;Q2;Apr;Other Quasi- Money Deposits;159230.889
Monthly;2009;Q2;May;Demand  Deposits;387304.766
Monthly;2009;Q2;Jun;Currency Outside Banks;85458.739
Monthly;2009;Q2;Jun;Money Supply M3;1001903.058
Monthly;2009;Q2;Jun;Money Supply M2;824202.997
